"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd1601",9.3485364250325e-17,0.548872659039717,0.205,0.06,1.56148603907318e-12,"7","Cd160"
"Rps23",1.21695119163095e-16,0.255385438429129,1,0.998,2.03267357538117e-12,"7","Rps23"
"Shisa51",1.25331705992585e-16,0.450593540008075,0.84,0.785,2.09341548519415e-12,"7","Shisa5"
"Gimap4",3.002307182128e-16,0.544754607686469,0.255,0.086,5.0147536863084e-12,"7","Gimap4"
"Ccdc1841",8.86114567707694e-16,0.564795345856847,0.215,0.068,1.48007716244216e-11,"7","Ccdc184"
"Lck1",8.9861893988979e-16,0.563508746232715,0.6,0.404,1.50096321529792e-11,"7","Lck"
"Rpl171",1.27695883908497e-15,0.278561805497769,0.995,0.998,2.13290434892363e-11,"7","Rpl17"
"Cd822",1.86405734036147e-15,0.471428334564628,0.785,0.664,3.11353497560576e-11,"7","Cd82"
"H2-Q7",2.16264965943701e-15,0.55593323509868,0.685,0.521,3.61227372615764e-11,"7","H2-Q7"
"Rps16",2.30500670880479e-15,0.263667615459079,1,0.998,3.85005270571664e-11,"7","Rps16"
"Uba521",3.3645221449215e-15,0.343808460678602,0.96,0.948,5.61976133866238e-11,"7","Uba52"
"Sept13",3.64609292923178e-15,0.4556850525702,0.715,0.561,6.09006901969583e-11,"7","Sept1"
"B2m2",5.86951360990254e-15,0.353659550446142,1,0.995,9.80384858262021e-11,"7","B2m"
"Hmha1",7.3743260816165e-15,0.506559254364738,0.69,0.551,1.2317336854124e-10,"7","Hmha1"
"Rac2",7.74361586650229e-15,0.429205460147704,0.8,0.694,1.29341615818188e-10,"7","Rac2"
"AW112010",8.73335291868377e-15,0.490377153850805,0.63,0.443,1.45873193800775e-10,"7","AW112010"
"Rpsa",2.08323030147496e-14,0.278721254480333,0.995,0.982,3.47961957255363e-10,"7","Rpsa"
"Rps3a11",2.79898324520628e-14,0.259812433818231,0.995,0.996,4.67514171446805e-10,"7","Rps3a1"
"Cd532",4.4295118448182e-14,0.32946494198357,0.945,0.882,7.39861363439984e-10,"7","Cd53"
"Rpl311",5.41403712280438e-14,0.280307771916276,0.985,0.985,9.04306620622015e-10,"7","Rpl31"
"Uqcrh",5.91446392947748e-14,0.338549336472962,0.93,0.912,9.87892910140623e-10,"7","Uqcrh"
"Ikzf2",9.16616126484102e-14,0.868084085671391,0.495,0.321,1.53102391606639e-09,"7","Ikzf2"
"Rps18",1.4217813518109e-13,0.252059169953297,1,0.999,2.37480139192975e-09,"7","Rps18"
"Klrk11",1.73007999275538e-13,0.701211186027444,0.715,0.699,2.8897526118993e-09,"7","Klrk1"
"Lpxn1",2.29457027528444e-13,0.555302722750038,0.61,0.486,3.8326207308076e-09,"7","Lpxn"
"Inpp4b1",2.54438584936441e-13,0.291673973699081,0.19,0.06,4.24988768419337e-09,"7","Inpp4b"
"Eif3e",2.70983257720725e-13,0.3506649431116,0.83,0.777,4.52623335370927e-09,"7","Eif3e"
"Cd1011",4.60365356179591e-13,0.340325251897346,0.175,0.055,7.68948254426771e-09,"7","Cd101"
"Neurl32",5.37164496609496e-13,0.494192901245319,0.675,0.55,8.97225858686841e-09,"7","Neurl3"
