"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","cluster"
"165",0.242142935251305,-0.502976092184827,0.67,0.543,1,"Ifitm2",7
"166",0.247319777881549,-0.339512228291546,0.821,0.655,1,"Kcnn4",7
"167",0.297911913032845,-0.390480537109286,0.825,0.637,1,"Tnfrsf4",7
"168",0.417081200242331,-0.263407153908914,0.703,0.584,1,"Il1rl1",7
"169",0.529084869170743,-0.41111487374101,0.745,0.577,1,"Il7r",7
"170",0.552234524561937,-0.390877912711076,0.849,0.663,1,"Xcl1",7
"171",0.554601889323805,-0.254437675271335,0.807,0.655,1,"Eif4e",7
"172",0.700275157367685,0.746457080141113,0.552,0.434,1,"Gzma",7
"173",0.721475389106602,-0.30414774778068,0.67,0.547,1,"Cxcl2",7
"174",0.728721834627164,-0.288598113466199,0.726,0.543,1,"Uap1",7
"175",0.880091619703057,0.330947068278471,0.585,0.498,1,"Irf8",7
"176",0.885529562308681,-0.252646476152498,0.83,0.569,1,"Cited2",7
"177",0.895481882685457,-0.385200079316481,0.679,0.562,1,"Ly6a",7
"178",1.58042696126665e-07,-0.254197883678383,0.837,0.547,0.000316085392253331,"Hist1h2bc",8
"179",1.5613127237741e-06,-0.265705089883171,0.913,0.572,0.00312262544754821,"Socs2",8
"180",1.9727411472872e-05,-0.274717909001897,0.957,0.565,0.039454822945744,"Tsc22d1",8
"181",0.000114428977062679,-0.265600787150545,0.984,0.572,0.228857954125357,"Mest",8
"182",0.00279516079558705,-0.292715260041514,0.962,0.547,1,"Cd7",8
"183",0.00294113125759227,-0.254469560399546,0.826,0.568,1,"Gpr65",8
"184",0.00467151692902799,-0.255828296259222,0.848,0.463,1,"Cwc25",8
"185",0.00887952149666839,-0.263518332056188,0.859,0.537,1,"Ssna1",8
"186",0.00894466762039109,-0.29956031347027,0.832,0.582,1,"Id3",8
"187",0.0112442577009955,-0.258704227049387,0.848,0.646,1,"Ddit4",8
"188",0.0155884354164362,-0.352816303175437,0.913,0.663,1,"Areg",8
"189",0.0217135589082353,-0.297677114609399,0.962,0.909,1,"Furin",8
"190",0.0345745277345037,-0.278968407558868,0.886,0.74,1,"Gm12840",8
"191",0.049442996892206,-0.358044302111933,0.837,0.565,1,"Tnfsf11",8
"192",0.0513615839445682,-0.300375937355712,0.957,0.726,1,"Stmn1",8
"193",0.0822446655460674,-0.29758278015914,0.989,0.818,1,"Kcnn4",8
"194",0.0929442233776914,-0.325139769084399,0.94,0.726,1,"Rhob",8
"195",0.107773805362703,-0.252451697467588,0.973,0.712,1,"Cd9",8
"196",0.124583732857493,-0.274872117931922,0.75,0.547,1,"Adrb2",8
"197",0.194132696473783,-0.267397971613679,0.717,0.677,1,"Polr2l",8
"198",0.197596427644748,-0.311226881459849,1,0.944,1,"Gm42418",8
"199",0.205633737251326,-0.421230190580219,0.995,0.825,1,"Klf2",8
"200",0.218470532263169,-0.300951033167993,0.897,0.632,1,"Nkg7",8
"201",0.22038112624029,-0.402903709447107,0.777,0.6,1,"Cd163l1",8
"202",0.237168989946692,-0.252234426560822,0.967,0.751,1,"Hk2",8
